Item,,,,,,,,,Image,Image Version,,Artist,,,,,Location,,,,,Organizational Donor,Individual Donor,,Fabrication,,,,,Bibliography
Name,Material,Genre,Installation Start Date,Installation End Date,Height,Width,Depth,Context,File,File,Version,First Name,Last Name,Birth Date,Deceased Date,Artist Bio,Neighborhood,Street Address,Latitude,Longitude,Current,Name,First Name,Last Name,Date,Fabricator,City,State,Country,
Untitled 5,Black Tennessee Marble,Sculpture,19760915,19761030,53,86,42,"Fabricated in place at the Shot tower over the course of the Symposium, relocated to current position in early 1990's",,,,Gerard,Howeler,19400000,,,Inner Harbor,"Commerce Street Park, Lombard and Commerce Streets",39.2878467,-76.61010729,true,International Sculputure Symposium of Baltimore and City of Baltimore,Gerard,Howeler,,,,,,"IAS MD000236,20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14H744549390C.796&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=12&y=10&aspect=Keyword&term=Howeler&index=.AW&term=&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
The Flame,Bronze,Monument,,19870000,132,72,72,,,,,Joseph,Sheppard,19300000,,,Inner Harbor,Gay and Lombard Streets,39.287762,-76.608749,true,,Jack and Jean,Luskin,,,,,,"IAS MD000557,20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14H744549390C.796&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=13&y=12&aspect=Keyword&term=Sheppard&index=.AW&term=Flame&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
The Flame,,,,,,,,,,,,,,,,,,,,,,,Jeanne and Melvin,Berger,,,,,,
Diamond #II-III,Cor-Ten Steel,Sculpture,,19690000,196,160,48,,,,,Antoni,Milkowski,19350000,20010000,,Downtown,2 Hopkins Plaza,39.289323,-76.61633,true,"British American Properties, Ltd.",,,,,,,,"IAS MD000005, 20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=U40J450961B63.818&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=12&y=11&aspect=Keyword&term=Milkowski&index=.AW&term=Diamond&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Swing Over,Aluminum,Sculpture,,20040000,,,,,,,,Alice,Aycock,19460000,,,Downtown,31 Hopkins Plaza,39.289226,-76.616327,true,U.S. Federal Goverment (General Services Administration),,,,Arrow Dynamica,Clearfield,Utah,U.S.,
Birth of Venus,Bronze,Sculpture,,19840000,86,21,21,,,,,Jonathan,Silver,19370000,19920000,,Downtown,Hopkins Plaza,39.289226,-76.616327,true,Municipal Art Society of Baltimore City,,,,,,,,"IAS MD000474,20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!337213~!1&ri=1&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Silver&index=.AW&uindex=&oper=&term=Venus&index=.TW&uindex=&aspect=Keyword&menu=search&ri=1"
Mercury and Commerce,Granite,Sculpture,,19060000,,,,,,,,John,Evans,18470000,19230000,,Downtown,"B&O Railroad Building, 2 N. Charles St.",39.289807,-76.6156019,true,Baltimore & Ohio Railroad,,,,,,,,"IAS MD000553, 20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!338623~!0&ri=3&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Evans&index=.AW&uindex=&oper=&term=Mercury&index=.TW&uindex=&aspect=Keyword&menu=search&ri=3"
Mayor Thomas D'Alesandro Jr.,Bronze,Sculpture,,19870000,78,32,21,,,,,Lloyd,Lillie,19320000,,,Downtown,1 Charles Center Plaza,39.291242,-76.616372,true,Shelter Development and Charles Center-Inner Harbor Management,,,,Tallix,Beacon,NY,U.S.,"IAS 74040005, 20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=13&y=13&aspect=Keyword&term=Lillie&index=.AW&term=Mayor&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Mayor Thomas D'Alesandro Jr.,,,,,55,60,44,,,,,,,,,,,,,,,,,,,,,,,
Moses and Christ,Marble,Sculpture,,18170000,72,36,,,,,,Antonio,Capellano,17800000,18400000,,Downtown,"St. Paul's Episcopal Church, 233 North Charles",39.292072,-76.6149499,true,St. Paul Episcopal Church,,,,,,,,"IAS 75006028, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!11331~!12&ri=6&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Capellano&index=.AW&uindex=&aspect=Keyword&menu=search&ri=6"
Moses and Christ,,,,,72,36,,,,,,,,,,,,,,,,,,,,,,,,
James Cardinal Gibbons,Bronze,Sculpture,,19670000,88,29.5,26,,,,,Betti,Richard,19160000,,,Downtown,"Basilica of the Assumption, 409 Cathedral St.",39.2946171,-76.6166183,true,Cardinal Gibbons Foundation,,,,,,,,"IAS MD000555,20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=16&y=10&aspect=Keyword&term=Richard&index=.AW&term=Gibbons&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Fire Chariot,Bronze,Sculpture,,19730000,132,47,88,,,,,Roger,Majorowicz,19310000,,,Downtown,"John F. Steadman Fire House, S. Eutaw and W. Lombard Streets",39.2875231,-76.6208115,true,Baltamore City Percent for Art program,,,,,,,,"IAS MD000466, 20140808, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1407533H97855.1290&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!337205~!13&ri=5&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Majorowicz&index=.AW&uindex=&aspect=Keyword&menu=search&ri=5"
Pope John Paul II,Bronze,Sculpture,,20080000,,,,,,,,Joseph,Sheppard,19300000,,,Downtown,"Pope John Paul II Prayer Garden, N. Charles and Franklin St.",39.2946411,-76.6156311,true,Friends of the Basilica of the Assumption Historic Trust,,,,,,,,"        
IAS 71500874, 20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=7&y=12&aspect=Keyword&term=Sheppard&index=.AW&term=Pope&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Double Gamut,"Painted aluminum, bronze, and copper",Sculpture,,19910000,132,168,42,,12.jpg,12_235x235.jpg,small,Linda,DePalma,19460000,,,Downtown,"Franklin St. Garage, 15 W. Franklin",39.2949291,-76.6160324,true,Baltamore City Percent for Art program,,,,,,,,"IAS MD000302, 20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=0&y=0&aspect=Keyword&term=DePalma&index=.AW&term=Gamut&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Double Gamut,,,,,,,,,,,,Paul,Daniel,19500000,,,,,,,,,,,,,,,,
Angel of Truth,Terra cotta,Sculpture,,18180000,90,,,replaced entirely by an exact replica fabricated by Henry Berge in 1960,,,,Antonio,Capellano,17800000,18400000,,Mount Vernon,"First Unitarian Church, 12 W. Franklin",39.2955496,-76.6157733,true,First Unitarian Church,,,,,,,,"IAS 75006007, 20140807,http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=1K074568735J9.851&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!11310~!1&ri=15&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=capellano&index=.AW&uindex=&oper=&term=angel&index=.TW&uindex=&aspect=Keyword&menu=search&ri=15"
Washington Monument,"Cockeysville, MD marble",Monument,18150704,18291129,2256,240,240,Sculptor Causici; Architectue Mills,,,,Enrico,Causici,17900000,18350000,,Mount Vernon,N. Charles and Monument St.,39.297522,-76.61567,true,State of Maryland and citizens of Baltimore,,,,,,,,"IAS 75006044, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14K74657708FR.899&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!11346~!7&ri=1&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Causici&index=.AW&uindex=&aspect=Keyword&menu=search&ri=1"
Washington Monument,,,,,,,,,,,,Robert,Mills,17810000,18550000,,,,,,,,,,,,,,,
